fips_code,state_id,state_name,year,niaaa_pop_21_plus,census_total_pop,census_percent_pop_21_plus,census_percent_pop_18_24,census_percent_pop_25_34,census_percent_pop_35_44,census_percent_pop_45_54,census_percent_pop_55_64,census_percent_pop_65_plus,census_percent_pop_male,census_percent_pop_female,census_percent_pop_married,census_percent_pop_widowed,census_percent_pop_divorced,census_percent_pop_separated,census_percent_pop_never_married,ed_census_percent_pop_less_hs,ed_census_percent_pop_only_hs,ed_census_percent_pop_some_college_or_assoc,ed_percent_pop_college_grad_only,ed_percent_pop_grad_prof_degree,census_percent_employed,census_percent_unemployed,census_percent_armed_forces_employment,census_percent_not_in_labor_force,brfss_drinking_culture_surrogate_metric_percent_binge,tpc_state_beer_tax_rates_dollar_gal,bea_personal_income_dollars,bea_disp_inc_dollars,bea_percapita_personal_income_dollars,bea_percapita_disp_inc_dollars,census_median_household_inc_dollars,niaaa_total_beer_vol_consumed_gallons,niaaa_legal_adult_per_capita_beer_consumed_gallons,ba_craft_beer_produced_gallons,ba_legal_adult_per_capita_craft_beer_produced_gallons
29,MO,Missouri,2010,4309460,5996231,0.7180,0.0990,0.1290,0.1250,0.1490,0.1210,0.1400,0.4890,0.5110,0.5030,0.0650,0.1190,0.0200,0.2940,0.1310,0.3190,0.2940,0.1600,0.0950,0.5760,0.0640,0.0050,0.3560,0.156,0.06,221760.2,202187.6,36984,33719,44301,138078455,32.04,,
30,MT,Montana,2010,725762,990898,0.7300,0.0960,0.1220,0.1150,0.1510,0.1420,0.1490,0.5040,0.4960,0.5310,0.0600,0.1240,0.0160,0.2700,0.0830,0.2990,0.3300,0.1980,0.0900,0.5880,0.0480,0.0040,0.3590,0.17,0.14,35670.9,32645.7,36000,32947,42666,30050749,41.41,,
31,NE,Nebraska,2010,1289245,1830429,0.7040,0.1010,0.1320,0.1220,0.1410,0.1160,0.1360,0.4950,0.5050,0.5330,0.0600,0.1050,0.0150,0.2880,0.0960,0.2830,0.3340,0.1960,0.0900,0.6590,0.0460,0.0030,0.2920,0.194,0.31,75194.1,68668.6,41086,37521,48408,45787000,35.51,,
32,NV,Nevada,2010,1933203,2704642,0.7140,0.0930,0.1430,0.1420,0.1380,0.1170,0.1210,0.5050,0.4950,0.4740,0.0540,0.1360,0.0240,0.3110,0.1530,0.2970,0.3330,0.1430,0.0740,0.5650,0.0930,0.0050,0.3370,0.172,0.16,100750.4,92389.4,37288,34193,51001,72466501,37.49,,
33,NH,New Hampshire,2010,973101,1316759,0.7370,0.0940,0.1090,0.1360,0.1710,0.1370,0.1370,0.4920,0.5080,0.5300,0.0570,0.1220,0.0130,0.2790,0.0850,0.2980,0.2890,0.2040,0.1240,0.6420,0.0540,0.0010,0.3030,0.151,0.3,61880.9,56818.2,46983,43139,61042,44330000,45.56,,
34,NJ,New Jersey,2010,6400873,8801624,0.7280,0.0870,0.1260,0.1410,0.1570,0.1200,0.1350,0.4870,0.5130,0.4980,0.0650,0.0850,0.0200,0.3320,0.1200,0.2950,0.2320,0.2210,0.1330,0.5930,0.0720,0.0010,0.3340,0.138,0.12,448931.1,397235,50962,45094,67681,147507072,23.04,,
35,NM,New Mexico,2010,1454537,2065932,0.7030,0.1000,0.1280,0.1220,0.1410,0.1250,0.1340,0.4940,0.5060,0.4670,0.0560,0.1300,0.0210,0.3260,0.1670,0.2640,0.3190,0.1420,0.1080,0.5410,0.0570,0.0050,0.3980,0.111,0.41,69499.8,64286,33658,31133,42090,45421685,31.23,,
36,NY,New York,2010,14216229,19392283,0.7320,0.1030,0.1370,0.1350,0.1480,0.1200,0.1350,0.4840,0.5160,0.4510,0.0620,0.0850,0.0270,0.3750,0.1510,0.2770,0.2460,0.1860,0.1400,0.5710,0.0620,0.0020,0.3650,0.155,0.14,943392.7,812982.9,48579,41863,54148,319176810,22.45,,
37,NC,North Carolina,2010,6868853,9561558,0.7150,0.1000,0.1300,0.1400,0.1420,0.1200,0.1300,0.4870,0.5130,0.4940,0.0630,0.1090,0.0320,0.3020,0.1530,0.2770,0.3060,0.1780,0.0870,0.5490,0.0800,0.0120,0.3600,0.11,0.62,343104.3,312109.5,35847,32609,43326,185771824,27.05,,
38,ND,North Dakota,2010,489678,674499,0.7270,0.1200,0.1320,0.1140,0.1430,0.1230,0.1460,0.5090,0.4910,0.5280,0.0600,0.0930,0.0070,0.3130,0.0970,0.2710,0.3570,0.1970,0.0790,0.6700,0.0270,0.0080,0.2950,0.187,0.16,29758.8,27179.4,44084,40263,48670,18482956,37.75,,
