,fips_code,high_tourist_border_sales,year,niaaa_pop_21_plus,census_total_pop,census_total_pop_21_plus,census_percent_pop_21_plus,census_percent_pop_18_24,census_percent_pop_25_34,census_percent_pop_35_44,census_percent_pop_45_54,census_percent_pop_55_64,census_percent_pop_65_plus,census_percent_pop_male,census_percent_pop_female,census_percent_pop_married,census_percent_pop_widowed,census_percent_pop_divorced,census_percent_pop_separated,census_percent_pop_never_married,ed_census_percent_pop_less_hs,ed_census_percent_pop_only_hs,ed_census_percent_pop_some_college_or_assoc,ed_percent_pop_college_grad_only,ed_percent_pop_grad_prof_degree,census_percent_employed,census_percent_unemployed,census_percent_armed_forces_employment,census_percent_not_in_labor_force,brfss_drinking_culture_surrogate_metric_percent_binge,tpc_state_beer_tax_rates_dollar_gal,bea_personal_income_dollars,bea_disp_inc_dollars,bea_percapita_personal_income_dollars,bea_percapita_disp_inc_dollars,census_median_household_inc_dollars,census_percent_pop_in_poverty_est,niaaa_total_beer_vol_consumed_gallons,niaaa_legal_adult_per_capita_beer_consumed_gallons,ba_craft_beer_produced_gallons,ba_legal_adult_per_capita_craft_beer_produced_gallons
118,20,0,2012,2029832,2885905,2025905,0.702,0.104,0.133,0.12,0.135,0.121,0.137,0.497,0.503,0.522,0.058,0.122,0.016,0.282,0.098,0.273,0.325,0.195,0.109,0.622,0.043,0.008,0.326,0.158,0.18,129849.7,117210.5,44914,40542,50241,0.14,56147461,27.66,838953.0,0.41
119,21,0,2012,3190830,4380415,3175801,0.725,0.097,0.128,0.13,0.143,0.129,0.14,0.492,0.508,0.501,0.067,0.132,0.022,0.278,0.162,0.341,0.279,0.129,0.089,0.538,0.055,0.005,0.402,0.149,0.08,156564.9,141735.8,35631,32257,41724,0.179,77253153,24.21,1132492.0,0.35
120,22,0,2012,3298373,4601893,3276548,0.712,0.103,0.14,0.123,0.138,0.123,0.13,0.489,0.511,0.437,0.066,0.123,0.029,0.345,0.17,0.343,0.268,0.144,0.075,0.555,0.054,0.004,0.387,0.165,0.32,187190.7,170767.5,40662,37095,42944,0.211,114142000,34.61,5254004.0,1.59
121,23,0,2012,1009987,1329192,1008857,0.759,0.087,0.111,0.122,0.158,0.152,0.17,0.49,0.51,0.508,0.064,0.142,0.012,0.274,0.084,0.348,0.289,0.181,0.098,0.59,0.049,0.001,0.361,0.177,0.35,53227.3,48197.8,39993,36214,46709,0.128,33604000,33.27,7723898.0,7.65
122,24,0,2012,4297392,5884563,4295731,0.73,0.097,0.136,0.132,0.152,0.125,0.13,0.484,0.516,0.467,0.058,0.101,0.026,0.349,0.109,0.261,0.261,0.2,0.169,0.625,0.056,0.006,0.312,0.164,0.09,310420.4,271959.7,52490,45986,71122,0.099,98230624,22.86,4794150.0,1.12
123,25,0,2012,4945618,6646144,4918147,0.74,0.104,0.133,0.129,0.151,0.128,0.145,0.484,0.516,0.461,0.059,0.101,0.02,0.36,0.103,0.259,0.244,0.222,0.171,0.616,0.057,0.001,0.327,0.197,0.11,376591.2,325798.7,56269,48680,65339,0.113,127631690,25.81,9027386.0,1.83
124,26,0,2012,7187502,9883360,7165436,0.725,0.101,0.119,0.124,0.147,0.134,0.146,0.491,0.509,0.48,0.061,0.118,0.015,0.326,0.108,0.306,0.326,0.16,0.1,0.543,0.069,0.0,0.388,0.192,0.2,387339.2,348254.6,39043,35104,46859,0.137,195288672,27.17,13589873.0,1.89
125,27,0,2012,3875623,5379139,3883738,0.722,0.093,0.137,0.125,0.146,0.126,0.136,0.496,0.504,0.524,0.05,0.102,0.011,0.313,0.075,0.264,0.329,0.224,0.108,0.657,0.044,0.001,0.299,0.219,0.15,255427.7,224772.6,47404,41715,58906,0.1,115262347,29.74,9559470.0,2.47
126,28,0,2012,2109223,2984926,2083478,0.698,0.109,0.125,0.126,0.133,0.122,0.135,0.483,0.517,0.443,0.072,0.119,0.032,0.334,0.177,0.306,0.311,0.13,0.076,0.514,0.066,0.005,0.415,0.121,0.43,99732.8,92226.7,33441,30924,37095,0.22,73067000,34.64,452259.0,0.21
127,29,0,2012,4366044,6021988,4353897,0.723,0.099,0.131,0.121,0.142,0.127,0.147,0.49,0.51,0.491,0.066,0.125,0.02,0.299,0.12,0.316,0.299,0.167,0.097,0.579,0.054,0.004,0.363,0.173,0.06,240967.8,217574.0,39983,36102,45321,0.152,134119528,30.72,8308093.0,1.9
128,30,0,2012,739438,1005141,740789,0.737,0.098,0.123,0.114,0.141,0.148,0.157,0.501,0.499,0.527,0.061,0.123,0.013,0.276,0.072,0.297,0.337,0.202,0.092,0.596,0.046,0.004,0.354,0.218,0.14,40436.9,36490.9,40220,36295,45076,0.134,30537189,41.3,3674368.0,4.97
129,31,0,2012,1307759,1855525,1311856,0.707,0.1,0.134,0.12,0.135,0.123,0.139,0.497,0.503,0.528,0.061,0.104,0.012,0.295,0.095,0.277,0.338,0.193,0.097,0.663,0.037,0.004,0.296,0.221,0.31,86235.9,77995.0,46391,41958,50723,0.122,46748000,35.75,658068.0,0.5
130,32,1,2012,1990190,2758931,1991948,0.722,0.092,0.143,0.138,0.136,0.12,0.13,0.504,0.496,0.456,0.051,0.146,0.024,0.323,0.151,0.288,0.337,0.148,0.075,0.568,0.079,0.004,0.349,0.151,0.16,108696.1,98769.9,39671,36048,49760,0.158,70101476,35.22,1418591.0,0.71
131,33,1,2012,987884,1320718,983935,0.745,0.095,0.112,0.128,0.166,0.143,0.147,0.491,0.509,0.514,0.055,0.123,0.013,0.296,0.082,0.294,0.278,0.219,0.126,0.641,0.044,0.001,0.313,0.17,0.3,67318.1,61385.4,50719,46249,63280,0.081,47182000,47.76,1823141.0,1.85
132,34,0,2012,6475591,8864590,6488880,0.732,0.089,0.127,0.135,0.154,0.125,0.141,0.487,0.513,0.492,0.062,0.086,0.02,0.34,0.117,0.287,0.233,0.225,0.138,0.594,0.067,0.001,0.338,0.177,0.12,484600.0,425028.0,54247,47578,69667,0.093,143744065,22.2,1161508.0,0.18
133,35,0,2012,1483903,2085538,1474475,0.707,0.1,0.132,0.119,0.133,0.128,0.141,0.496,0.504,0.461,0.058,0.131,0.018,0.331,0.156,0.265,0.318,0.149,0.112,0.535,0.061,0.005,0.399,0.146,0.41,74610.8,68573.5,35695,32806,42558,0.204,46353531,31.24,1494603.0,1.01
134,36,0,2012,14474529,19570261,14442853,0.738,0.102,0.141,0.13,0.145,0.124,0.141,0.485,0.515,0.442,0.062,0.088,0.028,0.38,0.147,0.269,0.25,0.19,0.144,0.575,0.059,0.002,0.365,0.17,0.14,1039791.6,887922.1,52628,44941,56448,0.172,329190903,22.74,22474504.0,1.55
135,37,0,2012,7053347,9752073,7031245,0.721,0.1,0.128,0.136,0.14,0.123,0.138,0.487,0.513,0.491,0.062,0.108,0.032,0.307,0.148,0.271,0.307,0.18,0.093,0.553,0.067,0.011,0.369,0.131,0.62,377867.2,341049.4,38867,35080,45150,0.172,188465167,26.72,4930023.0,0.7
136,38,0,2012,509218,699628,506531,0.724,0.125,0.141,0.111,0.132,0.126,0.144,0.511,0.489,0.519,0.061,0.097,0.009,0.315,0.083,0.28,0.358,0.196,0.084,0.676,0.023,0.009,0.292,0.241,0.16,39538.6,35356.8,56077,50147,53585,0.114,22496507,44.18,26598.0,0.05
137,39,0,2012,8396322,11544225,8392652,0.727,0.096,0.124,0.124,0.145,0.133,0.147,0.489,0.511,0.48,0.064,0.125,0.018,0.312,0.112,0.346,0.29,0.16,0.093,0.575,0.057,0.001,0.367,0.18,0.18,466162.1,417110.6,40280,36042,46829,0.154,259532000,30.91,30410039.0,3.62
138,40,0,2012,2715621,3814820,2708522,0.71,0.103,0.135,0.123,0.133,0.121,0.141,0.495,0.505,0.501,0.067,0.135,0.022,0.275,0.133,0.316,0.313,0.158,0.079,0.57,0.042,0.006,0.382,0.144,0.4,159875.4,145407.0,41903,38111,44312,0.18,78182000,28.79,499813.0,0.18
139,41,0,2012,2887505,3899353,2881622,0.739,0.094,0.137,0.13,0.134,0.136,0.15,0.496,0.504,0.49,0.055,0.134,0.019,0.302,0.101,0.251,0.349,0.186,0.113,0.554,0.069,0.001,0.376,0.153,0.08,152601.5,135425.0,39128,34724,49161,0.135,86630856,30.0,23691006.0,8.2
140,42,0,2012,9467728,12763536,9445017,0.74,0.099,0.123,0.122,0.147,0.134,0.16,0.488,0.512,0.481,0.071,0.095,0.022,0.332,0.111,0.368,0.243,0.17,0.109,0.572,0.056,0.001,0.372,0.179,0.08,584880.3,522830.1,45638,40796,51230,0.139,322896000,34.1,50409596.0,5.32
141,44,0,2012,782416,1050292,777216,0.74,0.115,0.123,0.124,0.15,0.13,0.151,0.483,0.517,0.448,0.063,0.115,0.018,0.356,0.139,0.279,0.268,0.187,0.128,0.596,0.062,0.003,0.339,0.172,0.1,48186.5,43278.1,45305,40690,54554,0.136,20312071,25.96,242761.0,0.31
142,45,0,2012,3436408,4723723,3415252,0.723,0.104,0.127,0.127,0.137,0.129,0.148,0.486,0.514,0.473,0.068,0.107,0.034,0.319,0.151,0.298,0.3,0.16,0.091,0.534,0.067,0.009,0.39,0.154,0.77,168271.2,153536.0,35794,32660,43107,0.167,110236000,32.08,1069376.0,0.31
143,46,0,2012,590847,833354,590015,0.708,0.102,0.133,0.113,0.133,0.129,0.145,0.501,0.499,0.509,0.062,0.11,0.013,0.305,0.095,0.327,0.316,0.181,0.081,0.653,0.032,0.003,0.311,0.206,0.27,37469.6,34448.0,44992,41364,48362,0.128,22940000,38.83,121954.0,0.21
144,47,0,2012,4702731,6456243,4687232,0.726,0.097,0.131,0.131,0.14,0.127,0.142,0.487,0.513,0.491,0.064,0.13,0.023,0.292,0.149,0.331,0.278,0.157,0.086,0.55,0.058,0.003,0.389,0.113,0.14,252592.3,234138.8,39082,36227,42764,0.186,126169041,26.83,1676387.0,0.36
145,48,0,2012,17951544,26059203,17902672,0.687,0.103,0.144,0.137,0.132,0.107,0.109,0.497,0.503,0.494,0.051,0.11,0.028,0.316,0.186,0.252,0.295,0.177,0.09,0.592,0.051,0.005,0.352,0.162,0.19,1142887.5,1039910.4,43863,39911,50740,0.17,610420918,34.0,22125072.0,1.23
146,49,0,2012,1835255,2855287,1833094,0.642,0.114,0.156,0.125,0.108,0.091,0.095,0.503,0.497,0.557,0.037,0.095,0.017,0.295,0.09,0.231,0.372,0.203,0.104,0.639,0.047,0.002,0.312,0.112,0.41,101928.1,91803.6,35633,32094,57049,0.11,32705000,17.82,3410775.0,1.86
147,50,0,2012,468278,626011,469508,0.75,0.107,0.112,0.117,0.156,0.152,0.157,0.494,0.506,0.498,0.059,0.121,0.014,0.308,0.083,0.305,0.254,0.219,0.139,0.629,0.043,0.001,0.327,0.193,0.27,28291.9,25699.9,44861,40751,52977,0.112,17856000,38.13,6345483.0,13.55
148,51,0,2012,5976825,8185867,5967497,0.729,0.101,0.139,0.135,0.146,0.123,0.13,0.49,0.51,0.501,0.055,0.102,0.024,0.318,0.121,0.253,0.272,0.206,0.149,0.602,0.045,0.017,0.336,0.157,0.26,402072.1,356231.8,49052,43459,61741,0.106,156149736,26.13,2605829.0,0.44
149,53,0,2012,5038910,6897012,5034819,0.73,0.097,0.141,0.133,0.14,0.128,0.132,0.499,0.501,0.505,0.049,0.123,0.017,0.307,0.096,0.237,0.35,0.203,0.113,0.584,0.056,0.008,0.352,0.169,0.76,324882.7,295266.1,47057,42767,57573,0.116,120373000,23.89,9024317.0,1.79
150,54,0,2012,1400347,1855413,1393415,0.751,0.094,0.118,0.124,0.142,0.147,0.168,0.491,0.509,0.499,0.079,0.133,0.015,0.274,0.155,0.406,0.253,0.114,0.073,0.497,0.043,0.0,0.459,0.102,0.18,65488.4,59669.6,35233,32102,40196,0.167,43121000,30.79,116312.0,0.08
151,55,0,2012,4154219,5726398,4157365,0.726,0.097,0.128,0.122,0.149,0.13,0.144,0.496,0.504,0.508,0.058,0.11,0.012,0.312,0.093,0.324,0.312,0.179,0.093,0.623,0.049,0.0,0.327,0.252,0.06,244508.3,218843.8,42641,38166,51059,0.114,152892000,36.8,12363141.0,2.98
152,56,0,2012,416378,576412,413287,0.717,0.102,0.139,0.12,0.135,0.137,0.131,0.508,0.492,0.529,0.054,0.128,0.018,0.272,0.083,0.304,0.366,0.169,0.078,0.636,0.038,0.006,0.32,0.17,0.02,30844.4,27480.5,53596,47751,54901,0.096,13786890,33.11,436170.0,1.05
153,1,0,2013,3523786,4833722,3504448,0.725,0.103,0.127,0.126,0.137,0.129,0.149,0.484,0.516,0.472,0.074,0.125,0.026,0.303,0.155,0.31,0.3,0.148,0.087,0.523,0.056,0.003,0.418,0.112,1.05,173720.7,157600.0,35713,32399,42849,0.167,100564000,28.54,1008461.0,0.29
154,2,1,2013,519701,735132,510917,0.695,0.114,0.155,0.122,0.138,0.125,0.09,0.526,0.474,0.487,0.039,0.108,0.017,0.349,0.084,0.279,0.358,0.182,0.098,0.624,0.06,0.029,0.288,0.195,1.07,38565.1,35184.4,52252,47672,72237,0.109,13976011,26.89,5658442.0,10.89
155,4,0,2013,4740511,6626624,4731410,0.714,0.1,0.133,0.126,0.126,0.117,0.154,0.498,0.502,0.471,0.055,0.125,0.019,0.33,0.141,0.248,0.337,0.171,0.103,0.538,0.053,0.003,0.407,0.134,0.16,242030.3,218160.9,36877,33240,48510,0.202,134259319,28.32,3641182.0,0.77
156,5,0,2013,2131571,2959373,2124830,0.718,0.097,0.13,0.124,0.131,0.124,0.153,0.494,0.506,0.499,0.067,0.133,0.023,0.278,0.156,0.353,0.285,0.134,0.072,0.534,0.047,0.002,0.417,0.126,0.24,107209.3,96883.6,36285,32790,40511,0.171,53604908,25.15,322927.0,0.15
157,6,0,2013,27467761,38332521,27446085,0.716,0.105,0.146,0.135,0.136,0.115,0.125,0.498,0.502,0.461,0.05,0.097,0.023,0.368,0.183,0.208,0.298,0.195,0.115,0.567,0.063,0.004,0.365,0.174,0.2,1840885.3,1587112.7,48076,41448,60190,0.149,680648643,24.78,91415740.0,3.33
158,8,0,2013,3819641,5268367,3803761,0.722,0.097,0.147,0.137,0.136,0.125,0.123,0.502,0.498,0.503,0.045,0.122,0.016,0.314,0.095,0.217,0.311,0.238,0.14,0.624,0.047,0.008,0.32,0.185,0.08,247816.7,217662.1,47082,41353,58823,0.106,114879673,30.08,43810495.0,11.47
159,9,0,2013,2650027,3596080,2650311,0.737,0.096,0.122,0.125,0.155,0.133,0.152,0.487,0.513,0.478,0.06,0.108,0.013,0.34,0.103,0.273,0.251,0.206,0.166,0.609,0.062,0.003,0.326,0.182,0.24,223834.3,187172.5,61999,51844,67098,0.113,56563952,21.34,1595167.0,0.6
160,10,1,2013,681756,925749,683203,0.738,0.1,0.129,0.121,0.141,0.131,0.159,0.484,0.516,0.472,0.058,0.117,0.018,0.335,0.117,0.312,0.273,0.172,0.126,0.58,0.055,0.004,0.362,0.17,0.16,40677.8,36092.0,43948,38993,57846,0.14,21270588,31.2,6549680.0,9.61
161,11,1,2013,505326,646449,502291,0.777,0.127,0.224,0.139,0.118,0.105,0.115,0.474,0.526,0.273,0.043,0.1,0.025,0.56,0.099,0.186,0.164,0.227,0.324,0.611,0.071,0.006,0.312,0.224,0.09,43213.8,36636.6,67024,56823,67572,0.213,14446000,28.59,461567.0,0.91
162,12,0,2013,14812445,19552860,14742856,0.754,0.092,0.125,0.123,0.139,0.128,0.187,0.489,0.511,0.459,0.071,0.131,0.025,0.314,0.132,0.295,0.302,0.176,0.097,0.529,0.057,0.003,0.411,0.156,0.48,794604.1,712530.1,40733,36526,46036,0.149,468635084,31.64,4028336.0,0.27
163,13,0,2013,7066062,9992167,7054470,0.706,0.103,0.135,0.139,0.139,0.116,0.119,0.488,0.512,0.464,0.055,0.117,0.024,0.339,0.145,0.286,0.286,0.178,0.106,0.559,0.064,0.006,0.371,0.131,1.01,374124.6,333490.4,37486,33414,47829,0.163,184605000,26.13,6424952.0,0.91
164,15,1,2013,1049864,1404054,1047424,0.746,0.098,0.145,0.126,0.128,0.127,0.157,0.506,0.494,0.501,0.059,0.094,0.014,0.333,0.09,0.274,0.324,0.208,0.104,0.57,0.037,0.04,0.352,0.183,0.93,61983.4,55608.1,43553,39073,68020,0.111,32395000,30.86,777536.0,0.74
165,16,0,2013,1117869,1612136,1115598,0.692,0.098,0.129,0.121,0.127,0.122,0.138,0.503,0.497,0.551,0.054,0.123,0.012,0.26,0.106,0.274,0.357,0.18,0.082,0.578,0.045,0.002,0.375,0.149,0.15,57790.6,52301.8,35716,32324,46783,0.129,30783000,27.54,1335276.0,1.19
166,17,0,2013,9338572,12882135,9313784,0.723,0.098,0.138,0.131,0.139,0.123,0.135,0.491,0.509,0.478,0.059,0.097,0.017,0.349,0.122,0.27,0.287,0.198,0.124,0.595,0.063,0.002,0.341,0.218,0.23,605681.6,528372.8,46731,40766,56210,0.133,266156375,28.5,4246976.0,0.45
167,18,0,2013,4697127,6570902,4691624,0.714,0.102,0.128,0.126,0.137,0.126,0.14,0.491,0.509,0.495,0.061,0.127,0.015,0.302,0.124,0.343,0.295,0.152,0.086,0.587,0.05,0.0,0.363,0.15,0.12,259534.8,233313.5,39436,35452,47529,0.116,118982590,25.33,3745672.0,0.8
168,19,0,2013,2226372,3090416,2222009,0.719,0.103,0.126,0.118,0.134,0.13,0.155,0.495,0.505,0.525,0.063,0.107,0.014,0.292,0.084,0.327,0.324,0.181,0.084,0.644,0.033,0.001,0.323,0.217,0.19,133435.1,119480.8,43012,38514,52229,0.108,74511888,33.47,911942.0,0.41
169,20,0,2013,2042079,2893957,2043134,0.706,0.104,0.134,0.12,0.129,0.124,0.14,0.498,0.502,0.525,0.061,0.114,0.014,0.286,0.099,0.266,0.324,0.2,0.111,0.622,0.039,0.007,0.333,0.154,0.18,132519.0,118814.7,45670,40947,50972,0.132,51231056,25.09,1024567.0,0.5
170,21,0,2013,3213349,4395295,3190984,0.726,0.097,0.128,0.129,0.14,0.13,0.144,0.492,0.508,0.501,0.066,0.131,0.023,0.28,0.159,0.331,0.284,0.133,0.093,0.542,0.05,0.004,0.404,0.134,0.08,157905.4,141839.9,35759,32121,43399,0.2,76393077,23.77,1631797.0,0.51
171,22,0,2013,3329293,4625470,3311837,0.716,0.103,0.142,0.122,0.134,0.126,0.131,0.488,0.512,0.438,0.067,0.122,0.028,0.345,0.169,0.336,0.27,0.149,0.076,0.553,0.048,0.004,0.395,0.163,0.32,189741.3,171884.1,40997,37138,44164,0.192,111755000,33.57,5721872.0,1.72
172,23,0,2013,1014757,1328302,1014823,0.764,0.086,0.113,0.119,0.154,0.154,0.177,0.489,0.511,0.498,0.062,0.146,0.009,0.285,0.082,0.338,0.298,0.181,0.101,0.585,0.044,0.002,0.37,0.172,0.35,53240.2,47819.9,39952,35885,46974,0.123,34224000,33.73,8049266.0,7.93
173,24,0,2013,4339233,5928814,4345821,0.733,0.095,0.138,0.13,0.15,0.127,0.134,0.485,0.515,0.467,0.056,0.1,0.024,0.353,0.109,0.257,0.261,0.203,0.171,0.629,0.051,0.006,0.314,0.142,0.09,309329.5,267672.4,51880,44894,72483,0.103,96184777,22.17,5315560.0,1.22
174,25,0,2013,5000780,6692824,4992847,0.746,0.104,0.136,0.126,0.149,0.129,0.147,0.485,0.515,0.466,0.057,0.095,0.019,0.363,0.101,0.259,0.237,0.225,0.178,0.621,0.052,0.001,0.326,0.194,0.11,379250.4,321324.5,56130,47557,66768,0.119,125868184,25.17,10211816.0,2.04
175,26,0,2013,7236934,9895622,7213908,0.729,0.102,0.119,0.122,0.143,0.136,0.15,0.491,0.509,0.476,0.062,0.118,0.015,0.329,0.106,0.297,0.329,0.164,0.105,0.552,0.06,0.0,0.388,0.189,0.2,390857.9,347736.1,39293,34958,48273,0.145,184789824,25.53,18070167.0,2.5
176,27,0,2013,3915479,5420380,3918935,0.723,0.094,0.136,0.123,0.142,0.128,0.139,0.496,0.504,0.519,0.052,0.101,0.012,0.315,0.076,0.263,0.326,0.224,0.111,0.661,0.038,0.0,0.301,0.21,0.15,257507.8,223396.0,47419,41138,60702,0.12,111456567,28.47,11398100.0,2.91
177,28,0,2013,2122672,2991207,2102819,0.703,0.108,0.126,0.127,0.13,0.124,0.138,0.485,0.515,0.447,0.069,0.119,0.031,0.335,0.176,0.306,0.314,0.129,0.075,0.513,0.061,0.004,0.423,0.124,0.43,101472.1,93290.6,33976,31237,37963,0.225,72695000,34.25,544360.0,0.26
178,29,0,2013,4397721,6044171,4388068,0.726,0.099,0.132,0.12,0.139,0.129,0.15,0.49,0.51,0.494,0.063,0.122,0.018,0.302,0.113,0.315,0.302,0.169,0.1,0.585,0.047,0.004,0.363,0.172,0.06,242493.0,216900.2,40121,35887,46931,0.137,131336105,29.86,9275643.0,2.11
179,30,0,2013,748695,1015165,745131,0.734,0.1,0.125,0.113,0.132,0.146,0.162,0.499,0.501,0.512,0.062,0.129,0.015,0.283,0.073,0.291,0.346,0.197,0.093,0.591,0.041,0.005,0.363,0.208,0.14,40786.0,36524.1,40146,35951,46972,0.145,30509469,40.75,4137411.0,5.53
180,31,0,2013,1319008,1868516,1321041,0.707,0.101,0.134,0.12,0.131,0.123,0.141,0.495,0.505,0.532,0.055,0.104,0.014,0.295,0.098,0.271,0.338,0.196,0.098,0.664,0.032,0.003,0.301,0.2,0.31,86022.2,77154.9,45918,41185,51440,0.11,46438000,35.21,758474.0,0.58
181,32,1,2013,2022932,2790136,2022849,0.725,0.092,0.143,0.136,0.136,0.121,0.137,0.503,0.497,0.459,0.055,0.136,0.025,0.325,0.148,0.284,0.342,0.151,0.075,0.572,0.07,0.003,0.354,0.152,0.16,108914.4,97539.1,39319,35212,51230,0.174,70902513,35.05,1448588.0,0.72
182,33,1,2013,995498,1323459,996565,0.753,0.097,0.113,0.123,0.163,0.146,0.153,0.493,0.507,0.519,0.054,0.121,0.014,0.292,0.072,0.293,0.289,0.219,0.126,0.639,0.041,0.001,0.319,0.168,0.3,67121.8,60565.5,50428,45502,64230,0.09,46407000,46.62,2144084.0,2.15
183,34,0,2013,6507760,8899339,6541014,0.735,0.089,0.128,0.133,0.152,0.127,0.144,0.488,0.512,0.489,0.062,0.087,0.02,0.342,0.115,0.288,0.232,0.226,0.14,0.598,0.06,0.001,0.341,0.163,0.12,488591.3,421449.1,54380,46907,70165,0.111,136780392,21.02,1518861.0,0.23
184,35,0,2013,1495350,2085287,1482639,0.711,0.103,0.13,0.119,0.129,0.128,0.147,0.496,0.504,0.446,0.061,0.124,0.02,0.349,0.157,0.265,0.313,0.15,0.114,0.535,0.054,0.005,0.407,0.145,0.41,73079.8,66440.1,34858,31691,43872,0.217,43912089,29.37,1805662.0,1.21
185,36,0,2013,14568023,19651127,14561485,0.741,0.101,0.142,0.128,0.143,0.125,0.144,0.485,0.515,0.442,0.061,0.087,0.026,0.383,0.144,0.268,0.247,0.193,0.148,0.579,0.055,0.001,0.365,0.174,0.14,1051798.1,878323.9,52875,44154,57369,0.145,339381470,23.3,26645582.0,1.83
186,37,0,2013,7151543,9848060,7129995,0.724,0.101,0.129,0.134,0.137,0.124,0.143,0.487,0.513,0.483,0.061,0.109,0.03,0.316,0.143,0.265,0.308,0.184,0.099,0.558,0.06,0.012,0.371,0.13,0.62,373140.6,332773.0,38062,33945,45906,0.186,187316323,26.19,8168136.0,1.14
187,38,0,2013,524160,723393,523737,0.724,0.131,0.141,0.112,0.126,0.126,0.142,0.51,0.49,0.517,0.057,0.094,0.01,0.322,0.085,0.275,0.369,0.2,0.072,0.676,0.018,0.009,0.297,0.238,0.16,39538.7,34942.8,54358,48039,55759,0.099,22248545,42.45,57833.0,0.11
188,39,0,2013,8449592,11570808,8423548,0.728,0.097,0.125,0.122,0.141,0.135,0.152,0.489,0.511,0.478,0.064,0.121,0.018,0.318,0.11,0.342,0.287,0.164,0.097,0.58,0.051,0.001,0.368,0.171,0.18,473218.8,420652.7,40754,36227,48081,0.137,258633000,30.61,34036609.0,4.03
189,40,0,2013,2745913,3850568,2730053,0.709,0.103,0.136,0.123,0.128,0.122,0.142,0.495,0.505,0.501,0.065,0.134,0.021,0.279,0.133,0.323,0.306,0.161,0.077,0.572,0.038,0.006,0.384,0.127,0.4,167796.9,152150.6,43605,39539,45690,0.14,76973000,28.03,651899.0,0.24
190,41,0,2013,2918736,3930065,2912178,0.741,0.093,0.136,0.131,0.13,0.137,0.154,0.495,0.505,0.492,0.055,0.131,0.019,0.303,0.103,0.243,0.348,0.193,0.115,0.563,0.057,0.001,0.379,0.165,0.08,154851.2,135385.1,39462,34501,50251,0.151,86891186,29.77,27214612.0,9.32
191,42,0,2013,9510669,12773801,9490934,0.743,0.098,0.125,0.12,0.144,0.136,0.164,0.489,0.511,0.476,0.069,0.097,0.022,0.336,0.108,0.364,0.241,0.175,0.112,0.577,0.052,0.0,0.371,0.172,0.08,589720.2,521961.8,45904,40630,52007,0.124,318959000,33.54,55445233.0,5.83
192,44,0,2013,786512,1051511,785479,0.747,0.113,0.128,0.121,0.147,0.133,0.155,0.488,0.512,0.446,0.066,0.111,0.019,0.359,0.141,0.266,0.268,0.198,0.126,0.595,0.06,0.003,0.342,0.178,0.1,48187.0,42748.9,45112,40021,55902,0.135,19837083,25.22,378746.0,0.48
193,45,0,2013,3487753,4774839,3476083,0.728,0.104,0.127,0.125,0.136,0.13,0.152,0.486,0.514,0.467,0.069,0.108,0.034,0.322,0.144,0.294,0.302,0.166,0.095,0.546,0.057,0.007,0.39,0.149,0.77,170204.8,153736.0,35906,32432,44163,0.159,109678000,31.45,1453911.0,0.42
194,46,0,2013,598139,844877,599863,0.71,0.101,0.131,0.115,0.129,0.13,0.148,0.502,0.498,0.525,0.056,0.111,0.01,0.298,0.084,0.313,0.337,0.189,0.076,0.657,0.028,0.005,0.311,0.192,0.27,37840.2,34575.1,44983,41102,48947,0.103,23002000,38.46,124261.0,0.21
195,47,0,2013,4749551,6495978,4735568,0.729,0.098,0.13,0.13,0.138,0.128,0.146,0.489,0.511,0.493,0.065,0.127,0.023,0.292,0.144,0.329,0.279,0.156,0.092,0.558,0.053,0.003,0.386,0.096,0.14,254464.6,234048.4,39102,35965,44297,0.181,124223431,26.15,3053746.0,0.64
196,48,0,2013,18291266,26448193,18222805,0.689,0.103,0.144,0.136,0.13,0.109,0.112,0.497,0.503,0.492,0.052,0.108,0.027,0.321,0.181,0.252,0.291,0.183,0.093,0.599,0.045,0.004,0.351,0.167,0.19,1173747.4,1058273.2,44396,40028,51704,0.168,606574777,33.16,26296023.0,1.44
197,49,0,2013,1871908,2900872,1871062,0.645,0.115,0.152,0.129,0.105,0.093,0.097,0.503,0.497,0.559,0.038,0.094,0.016,0.294,0.085,0.229,0.373,0.209,0.105,0.633,0.037,0.002,0.328,0.123,0.41,105028.0,93752.1,36116,32239,59770,0.083,32395000,17.31,4054488.0,2.17
198,50,0,2013,470394,626630,472479,0.754,0.106,0.112,0.116,0.152,0.152,0.164,0.493,0.507,0.489,0.053,0.124,0.013,0.322,0.085,0.306,0.251,0.214,0.143,0.622,0.038,0.0,0.339,0.171,0.27,28666.0,25784.6,45298,40745,52578,0.087,18321000,38.95,7100912.0,15.1
199,51,0,2013,6045816,8260405,6038356,0.731,0.101,0.14,0.133,0.143,0.124,0.134,0.492,0.508,0.495,0.055,0.102,0.026,0.321,0.116,0.248,0.274,0.211,0.151,0.604,0.043,0.016,0.338,0.16,0.26,398579.8,348961.5,48198,42198,62666,0.104,153901939,25.46,4002182.0,0.66
200,53,0,2013,5108283,6971406,5089126,0.73,0.096,0.142,0.132,0.136,0.129,0.137,0.499,0.501,0.501,0.049,0.122,0.017,0.311,0.099,0.233,0.341,0.209,0.118,0.582,0.05,0.009,0.359,0.168,0.76,330952.6,297401.9,47454,42643,58405,0.12,121148000,23.72,10328412.0,2.02
